key,name,population,cases
W06000001,Isle of Anglesey,69961,0
W06000002,Gwynedd,124178,0
W06000003,Conwy,117181,0
W06000004,Denbighshire,95330,0
W06000005,Flintshire,155593,0
W06000006,Wrexham,136126,0
W06000023,Powys,132447,0
W06000008,Ceredigion,72992,0
W06000009,Pembrokeshire,125055,0
W06000010,Carmarthenshire,187568,0
W06000011,Swansea,246466,0
W06000012,Neath Port Talbot,142906,0
W06000013,Bridgend,144876,0
W06000014,Vale of Glamorgan,132165,0
W06000015,Cardiff,364248,0
W06000016,Rhondda Cynon Taf,240131,0
W06000024,Merthyr Tydfil,60183,0
W06000018,Caerphilly,181019,0
W06000019,Blaenau Gwent,69713,0
W06000020,Torfaen,93049,0
W06000021,Monmouthshire,94142,0
W06000022,Newport,153302,0
S12000033,Aberdeen City,227560,0
S12000034,Aberdeenshire,261470,0
S12000041,Angus,116040,0
S12000035,Argyll and Bute,86260,0
S12000036,City of Edinburgh,518500,0
S12000005,Clackmannanshire,51400,0
S12000006,Dumfries and Galloway,148790,0
S12000042,Dundee City,148750,0
S12000008,East Ayrshire,121840,0
S12000045,East Dunbartonshire,108330,0
S12000010,East Lothian,105790,0
S12000011,East Renfrewshire,95170,0
S12000014,Falkirk,160340,0
S12000047,Fife,371910,0
S12000049,Glasgow City,626410,0
S12000017,Highland,235540,0
S12000018,Inverclyde,78150,0
S12000019,Midlothian,91340,0
S12000020,Moray,95520,0
S12000013,Na h-Eileanan Siar,26830,0
S12000021,North Ayrshire,135280,0
S12000050,North Lanarkshire,340180,0
S12000023,Orkney Islands,22190,0
S12000048,Perth and Kinross,151290,0
S12000038,Renfrewshire,177790,0
S12000026,Scottish Borders,115270,0
S12000027,Shetland Islands,22990,0
S12000028,South Ayrshire,112550,0
S12000029,South Lanarkshire,319020,0
S12000030,Stirling,94330,0
S12000039,West Dunbartonshire,89130,0
S12000040,West Lothian,182140,0
N09000001,Antrim and Newtownabbey,142492,0
N09000011,Ards and North Down,160864,0
N09000002,"Armagh City, Banbridge and Craigavon",214090,0
N09000003,Belfast,341877,0
N09000004,Causeway Coast and Glens,144246,0
N09000005,Derry City and Strabane,150679,0
N09000006,Fermanagh and Omagh,116835,0
N09000007,Lisburn and Castlereagh,144381,0
N09000008,Mid and East Antrim,138773,0
N09000009,Mid Ulster,147392,0
N09000010,"Newry, Mourne and Down",180012,0
E06000047,County Durham,526980,0
E06000005,Darlington,106566,0
E06000001,Hartlepool,93242,0
E06000002,Middlesbrough,140545,0
E06000057,Northumberland,320274,0
E06000003,Redcar and Cleveland,136718,0
E06000004,Stockton-on-Tees,197213,0
E11000007,Tyne and Wear (Met County),1136371,0
E08000037,Gateshead,202508,0
E08000021,Newcastle upon Tyne,300196,0
E08000022,North Tyneside,205985,0
E08000023,South Tyneside,150265,0
E08000024,Sunderland,277417,0
E06000008,Blackburn with Darwen,148942,0
E06000009,Blackpool,139305,0
E06000049,Cheshire East,380790,0
E06000050,Cheshire West and Chester,340502,0
E06000006,Halton,128432,0
E06000007,Warrington,209547,0
E10000006,Cumbria,498888,0
E07000026,Allerdale,97527,0
E07000027,Barrow-in-Furness,67137,0
E07000028,Carlisle,108387,0
E07000029,Copeland,68424,0
E07000030,Eden,52881,0
E07000031,South Lakeland,104532,0
E11000001,Greater Manchester (Met County),2812569,0
E08000001,Bolton,285372,0
E08000002,Bury,190108,0
E08000003,Manchester,547627,0
E08000004,Oldham,235623,0
E08000005,Rochdale,220001,0
E08000006,Salford,254408,0
E08000007,Stockport,291775,0
E08000008,Tameside,225197,0
E08000009,Trafford,236370,0
E08000010,Wigan,326088,0
E10000017,Lancashire,1210053,0
E07000117,Burnley,88527,0
E07000118,Chorley,116821,0
E07000119,Fylde,79770,0
E07000120,Hyndburn,80815,0
E07000121,Lancaster,144246,0
E07000122,Pendle,91405,0
E07000123,Preston,141818,0
E07000124,Ribble Valley,60057,0
E07000125,Rossendale,70895,0
E07000126,South Ribble,110527,0
E07000127,West Lancashire,113949,0
E07000128,Wyre,111223,0
E11000002,Merseyside (Met County),1423065,0
