VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,id,name
10013030S01,屏東縣,東港鎮,,,T,10013,T03,10013030,未編定村里,,
64000130006,高雄市,林園區,中門里,Zhongmen Vil.,E,64000,E13,64000130,,6400004,
64000130008,高雄市,林園區,港埔里,Gangpu Vil.,E,64000,E13,64000130,,6400004,
64000100010,高雄市,旗津區,上竹里,Shangzhu Vil.,E,64000,E10,64000100,,6400008,
64000100013,高雄市,旗津區,中興里,Zhongxing Vil.,E,64000,E10,64000100,,6400008,
10013020003,屏東縣,潮州鎮,新榮里,Xinrong Vil.,T,10013,T02,10013020,,1001302,
10013020004,屏東縣,潮州鎮,新生里,Xinsheng Vil.,T,10013,T02,10013020,,1001302,
10013020005,屏東縣,潮州鎮,光華里,Guanghua Vil.,T,10013,T02,10013020,,1001302,
10013020006,屏東縣,潮州鎮,彭城里,Pengcheng Vil.,T,10013,T02,10013020,,1001302,
10013020007,屏東縣,潮州鎮,三星里,Sanxing Vil.,T,10013,T02,10013020,,1001302,
10013020014,屏東縣,潮州鎮,富春里,Fuchun Vil.,T,10013,T02,10013020,,1001302,
10013030001,屏東縣,東港鎮,新勝里,Xinsheng Vil.,T,10013,T03,10013030,,1001302,
10013030003,屏東縣,東港鎮,頂中里,Dingzhong Vil.,T,10013,T03,10013030,,1001302,
10013030005,屏東縣,東港鎮,興台里,Xingtai Vil.,T,10013,T03,10013030,,1001302,
10013030006,屏東縣,東港鎮,中興里,Zhongxing Vil.,T,10013,T03,10013030,,1001302,
10013030008,屏東縣,東港鎮,八德里,Bade Vil.,T,10013,T03,10013030,,1001302,
10015090001,花蓮縣,瑞穗鄉,瑞穗村,Ruisui Vil.,U,10015,U09,10015090,,1001501,
10018010001,新竹市,東區,南門里,Nanmen Vil.,O,10018,O01,10018010,,1001801,
10018010009,新竹市,東區,竹蓮里,Zhulian Vil.,O,10018,O01,10018010,,1001801,
10018010010,新竹市,東區,寺前里,Siqian Vil.,O,10018,O01,10018010,,,
10018010020,新竹市,東區,三民里,Sanmin Vil.,O,10018,O01,10018010,,1001801,
10018010021,新竹市,東區,東園里,Dongyuan Vil.,O,10018,O01,10018010,,1001801,
10018010022,新竹市,東區,東勢里,Dongshi Vil.,O,10018,O01,10018010,,1001801,
10014140002,臺東縣,金峰鄉,正興村,Zhengxing Vil.,V,10014,V15,10014140,,1001401,
