OBJECTID,UID,PRO_ID,VILLAGE,TOWN,COUNTY,V_code,town109,nVill103,V_NAME103,T_NAME103,C_NAME103
8573,7064,64,中興里,旗津區,高雄市,6401000-013,64000100,6401000-013,中興里,旗津區,高雄市
8578,3626,10,頂潭里,田中鎮,彰化縣,1000712-006,10007120,1000712-006,頂潭里,田中鎮,彰化縣
8579,3627,10,中潭里,田中鎮,彰化縣,1000712-007,10007120,1000712-007,中潭里,田中鎮,彰化縣
8580,3628,10,龍潭里,田中鎮,彰化縣,1000712-008,10007120,1000712-008,龍潭里,田中鎮,彰化縣
8581,3642,10,大社里,田中鎮,彰化縣,1000712-022,10007120,1000712-022,大社里,田中鎮,彰化縣
8582,3737,10,美雅村,社頭鄉,彰化縣,1000717-013,10007170,1000717-013,美雅村,社頭鄉,彰化縣
8583,3740,10,里仁村,社頭鄉,彰化縣,1000717-016,10007170,1000717-016,里仁村,社頭鄉,彰化縣
8983,5070,10,萬生村,萬丹鄉,屏東縣,1001305-005,10013050,1001305-005,萬生村,萬丹鄉,屏東縣
8984,5226,10,鳳明村,竹田鄉,屏東縣,1001314-015,10013140,1001314-015,鳳明村,竹田鄉,屏東縣
8985,4435,10,瓦瑤村,麥寮鄉,雲林縣,1000913-003,10009130,1000913-003,瓦瑤村,麥寮鄉,雲林縣
495,29,64,海光里,鳳山區,高雄市,6401200-022,64000120,6401200-022,海光里,鳳山區,高雄市
496,31,64,誠智里,鳳山區,高雄市,6401200-062,64000120,6401200-062,誠智里,鳳山區,高雄市
497,30,64,生明里,鳳山區,高雄市,6401200-045,64000120,6401200-045,生明里,鳳山區,高雄市
498,6037,10,關新里,東區,新竹市,1001801-054,10018010,1001801-054,關新里,東區,新竹市
499,4445,10,中興村,麥寮鄉,雲林縣,1000913-013,10009130,1000913-013,中興村,麥寮鄉,雲林縣
500,6082,10,中雅里,北區,新竹市,1001802-045,10018020,1001802-045,中雅里,北區,新竹市
501,25,64,永清里,左營區,高雄市,6400300-013,64000030,6400300-013,永清里,左營區,高雄市
502,26,64,莒光里,左營區,高雄市,6400300-015,64000030,6400300-015,莒光里,左營區,高雄市
503,9959,64,大愛里,杉林區,高雄市,6403400-008,64000340,6403400-008,大愛里,杉林區,高雄市
504,28,64,月眉里,杉林區,高雄市,6403400-006,64000340,6403400-006,月眉里,杉林區,高雄市
505,27,64,上平里,杉林區,高雄市,6403400-005,64000340,6403400-005,上平里,杉林區,高雄市
3059,4399,10,烏麻村,林內鄉,雲林縣,1000910-009,10009100,1000910-009,烏麻村,林內鄉,雲林縣
3060,4400,10,重興村,林內鄉,雲林縣,1000910-010,10009100,1000910-010,重興村,林內鄉,雲林縣
3061,4401,10,崙東村,二崙鄉,雲林縣,1000911-001,10009110,1000911-001,崙東村,二崙鄉,雲林縣
3062,4402,10,崙西村,二崙鄉,雲林縣,1000911-002,10009110,1000911-002,崙西村,二崙鄉,雲林縣
3063,4403,10,來惠村,二崙鄉,雲林縣,1000911-003,10009110,1000911-003,來惠村,二崙鄉,雲林縣
3064,4404,10,三和村,二崙鄉,雲林縣,1000911-004,10009110,1000911-004,三和村,二崙鄉,雲林縣
3065,4405,10,湳仔村,二崙鄉,雲林縣,1000911-005,10009110,1000911-005,湳仔村,二崙鄉,雲林縣
3066,4406,10,田尾村,二崙鄉,雲林縣,1000911-006,10009110,1000911-006,田尾村,二崙鄉,雲林縣
3067,4407,10,定安村,二崙鄉,雲林縣,1000911-007,10009110,1000911-007,定安村,二崙鄉,雲林縣
3068,4408,10,大華村,二崙鄉,雲林縣,1000911-008,10009110,1000911-008,大華村,二崙鄉,雲林縣
3069,4409,10,義庄村,二崙鄉,雲林縣,1000911-009,10009110,1000911-009,義庄村,二崙鄉,雲林縣
3070,4410,10,楊賢村,二崙鄉,雲林縣,1000911-010,10009110,1000911-010,楊賢村,二崙鄉,雲林縣
3071,4411,10,港後村,二崙鄉,雲林縣,1000911-011,10009110,1000911-011,港後村,二崙鄉,雲林縣
3072,4412,10,大義村,二崙鄉,雲林縣,1000911-012,10009110,1000911-012,大義村,二崙鄉,雲林縣
3073,4413,10,油車村,二崙鄉,雲林縣,1000911-013,10009110,1000911-013,油車村,二崙鄉,雲林縣
3074,4414,10,大庄村,二崙鄉,雲林縣,1000911-014,10009110,1000911-014,大庄村,二崙鄉,雲林縣
3075,4415,10,庄西村,二崙鄉,雲林縣,1000911-015,10009110,1000911-015,庄西村,二崙鄉,雲林縣
3076,4416,10,大同村,二崙鄉,雲林縣,1000911-016,10009110,1000911-016,大同村,二崙鄉,雲林縣
3077,4417,10,復興村,二崙鄉,雲林縣,1000911-017,10009110,1000911-017,復興村,二崙鄉,雲林縣
3078,4418,10,永定村,二崙鄉,雲林縣,1000911-018,10009110,1000911-018,永定村,二崙鄉,雲林縣
3079,4419,10,東明村,崙背鄉,雲林縣,1000912-001,10009120,1000912-001,東明村,崙背鄉,雲林縣
3080,4420,10,西榮村,崙背鄉,雲林縣,1000912-002,10009120,1000912-002,西榮村,崙背鄉,雲林縣
5349,6852,64,港東里,三民區,高雄市,6400500-068,64000050,6400500-068,港東里,三民區,高雄市
5350,6853,64,港新里,三民區,高雄市,6400500-069,64000050,6400500-069,港新里,三民區,高雄市
