縣市名稱,鄉鎮市區名稱,村里代碼,村里名稱,人口密度
宜蘭縣,三星鄉,10002100005,人和村,92.8
宜蘭縣,三星鄉,10002100017,大洲村,491.25
宜蘭縣,三星鄉,10002100015,大義村,360.72
宜蘭縣,三星鄉,10002100010,大隱村,456.36
宜蘭縣,三星鄉,10002100002,天山村,89.1
宜蘭縣,三星鄉,10002100003,天福村,171.88
宜蘭縣,三星鄉,10002100008,月眉村,1063.48
宜蘭縣,三星鄉,10002100011,行健村,316.18
宜蘭縣,三星鄉,10002100018,尾塹村,438.76
宜蘭縣,三星鄉,10002100016,尚武村,197.16
宜蘭縣,三星鄉,10002100009,拱照村,148
宜蘭縣,三星鄉,10002100001,員山村,21.09
宜蘭縣,三星鄉,10002100013,貴林村,79.44
宜蘭縣,三星鄉,10002100007,集慶村,269.55
宜蘭縣,三星鄉,10002100014,萬富村,256.03
宜蘭縣,三星鄉,10002100012,萬德村,299.12
宜蘭縣,三星鄉,10002100006,義德村,590.32
宜蘭縣,三星鄉,10002100004,雙賢村,281.28
宜蘭縣,大同鄉,10002110007,太平村,0.32
宜蘭縣,大同鄉,10002110008,四季村,11.15
宜蘭縣,大同鄉,10002110003,松羅村,21.97
宜蘭縣,大同鄉,10002110009,南山村,9.04
宜蘭縣,大同鄉,10002110010,茂安村,4.41
宜蘭縣,大同鄉,10002110005,英士村,5.04
宜蘭縣,大同鄉,10002110002,崙埤村,28.52
宜蘭縣,大同鄉,10002110001,寒溪村,9.57
宜蘭縣,大同鄉,10002110004,復興村,8.94
宜蘭縣,大同鄉,10002110006,樂水村,12.07
宜蘭縣,五結鄉,10002090002,二結村,3735.45
宜蘭縣,五結鄉,10002090001,三興村,865.53
宜蘭縣,五結鄉,10002090004,上四村,2539.63
宜蘭縣,五結鄉,10002090009,大吉村,1040.11
宜蘭縣,五結鄉,10002090005,中興村,1043.02
宜蘭縣,五結鄉,10002090008,五結村,2617.75
宜蘭縣,五結鄉,10002090006,四結村,4348.52
宜蘭縣,五結鄉,10002090014,成興村,855.98
宜蘭縣,五結鄉,10002090013,利澤村,979.55
宜蘭縣,五結鄉,10002090011,孝威村,659.36
宜蘭縣,五結鄉,10002090010,協和村,992.77
宜蘭縣,五結鄉,10002090015,季新村,775.96
宜蘭縣,五結鄉,10002090007,福興村,1075.05
宜蘭縣,五結鄉,10002090012,錦眾村,245.63
宜蘭縣,五結鄉,10002090003,鎮安村,1041.4
宜蘭縣,冬山鄉,10002080012,八寶村,450.94
宜蘭縣,冬山鄉,10002080004,三奇村,397.23
宜蘭縣,冬山鄉,10002080013,丸山村,883.17
宜蘭縣,冬山鄉,10002080024,大進村,70.73
宜蘭縣,冬山鄉,10002080005,大興村,505.42
宜蘭縣,冬山鄉,10002080014,中山村,85.84
宜蘭縣,冬山鄉,10002080011,太和村,320.58
宜蘭縣,冬山鄉,10002080009,冬山村,5218.56
宜蘭縣,冬山鄉,10002080016,永美村,1496.56
宜蘭縣,冬山鄉,10002080010,安平村,121.75
宜蘭縣,冬山鄉,10002080006,東城村,648.91
宜蘭縣,冬山鄉,10002080001,武淵村,382.79
宜蘭縣,冬山鄉,10002080008,南興村,4529.33
宜蘭縣,冬山鄉,10002080023,柯林村,414.51
宜蘭縣,冬山鄉,10002080002,珍珠村,811.35
宜蘭縣,冬山鄉,10002080007,香和村,3692.95
宜蘭縣,冬山鄉,10002080020,得安村,291.92
宜蘭縣,冬山鄉,10002080018,清溝村,4880.96
宜蘭縣,冬山鄉,10002080019,鹿埔村,1047.15
宜蘭縣,冬山鄉,10002080015,順安村,2740.38
宜蘭縣,冬山鄉,10002080017,群英村,2778.23
宜蘭縣,冬山鄉,10002080003,補城村,623.49
宜蘭縣,冬山鄉,10002080022,廣安村,1409.93
宜蘭縣,冬山鄉,10002080021,廣興村,1185.63
宜蘭縣,壯圍鄉,10002060013,大福村,1007.12
宜蘭縣,壯圍鄉,10002060010,功勞村,634.13
宜蘭縣,壯圍鄉,10002060009,古亭村,559.9
宜蘭縣,壯圍鄉,10002060014,古結村,550.45
宜蘭縣,壯圍鄉,10002060007,永鎮村,1040.39
宜蘭縣,壯圍鄉,10002060001,吉祥村,2180.54
宜蘭縣,壯圍鄉,10002060008,忠孝村,546.57
宜蘭縣,壯圍鄉,10002060004,東港村,522.17
宜蘭縣,壯圍鄉,10002060011,美城村,692.84
宜蘭縣,壯圍鄉,10002060002,美福村,460.02
宜蘭縣,壯圍鄉,10002060005,復興村,508.22
宜蘭縣,壯圍鄉,10002060012,新社村,441.45
宜蘭縣,壯圍鄉,10002060003,新南村,201.93
宜蘭縣,壯圍鄉,10002060006,過嶺村,1215.6
宜蘭縣,宜蘭市,10002010016,七張里,1250.3
宜蘭縣,宜蘭市,10002010043,七結里,14873.71
宜蘭縣,宜蘭市,10002010045,大新里,5235.21
宜蘭縣,宜蘭市,10002010021,小東里,12623.71
宜蘭縣,宜蘭市,10002010031,中山里,12526.23
宜蘭縣,宜蘭市,10002010046,中興里,19437.1
宜蘭縣,宜蘭市,10002010039,文化里,13619.84
宜蘭縣,宜蘭市,10002010028,北門里,6517.93
宜蘭縣,宜蘭市,10002010026,北津里,3916.23
宜蘭縣,宜蘭市,10002010036,民族里,17051.72
宜蘭縣,宜蘭市,10002010002,民權里,10815.54
宜蘭縣,宜蘭市,10002010041,成功里,5309.08
宜蘭縣,宜蘭市,10002010032,西門里,9114.86
宜蘭縣,宜蘭市,10002010023,孝廉里,8018.25
宜蘭縣,宜蘭市,10002010015,延平里,2929.27
宜蘭縣,宜蘭市,10002010014,東村里,3157.29
宜蘭縣,宜蘭市,10002010019,東門里,11599.71
宜蘭縣,宜蘭市,10002010034,南門里,6268.05
宜蘭縣,宜蘭市,10002010011,南津里,1383.89
宜蘭縣,宜蘭市,10002010009,南橋里,794.71
宜蘭縣,宜蘭市,10002010037,建軍里,9679.77
宜蘭縣,宜蘭市,10002010010,建業里,1037.03
宜蘭縣,宜蘭市,10002010038,思源里,11624.17
宜蘭縣,宜蘭市,10002010035,負郭里,13782.31
宜蘭縣,宜蘭市,10002010044,泰山里,1772.05
宜蘭縣,宜蘭市,10002010001,神農里,8525.84
宜蘭縣,宜蘭市,10002010025,茭白里,1868.01
宜蘭縣,宜蘭市,10002010027,梅洲里,1034.38
宜蘭縣,宜蘭市,10002010012,凱旋里,762.29
宜蘭縣,宜蘭市,10002010040,復興里,15596.66
宜蘭縣,宜蘭市,10002010022,菜園里,11247.25
宜蘭縣,宜蘭市,10002010008,進士里,1825.65
宜蘭縣,宜蘭市,10002010017,慈安里,10048.71
宜蘭縣,宜蘭市,10002010018,新民里,15420.04
宜蘭縣,宜蘭市,10002010024,新生里,1582.81
