基隆,2922036,2785292
三坑,484148,489124
八堵,901970,819631
七堵,2117063,2140268
百福,914157,913879
五堵,679903,568917
汐止,3572036,3638344
汐科,3168892,3266711
南港,3639393,3759836
松山,5930674,5979825
臺北,22185724,21891507
萬華,1580275,1555040
板橋,7831035,7849797
浮洲,1022188,960177
樹林,5493913,5518100
南樹林,376459,372935
山佳,584485,584882
鶯歌,3089806,3064824
桃園,10133471,10299406
內壢,3213106,3182644
中壢,9817079,9957419
埔心,2115812,1954881
楊梅,1904487,1816734
富岡,627998,632107
新富,20965,26997
北湖,316247,313618
湖口,1322343,1386270
新豐,1947123,1950966
竹北,1808095,1799963
北新竹,722064,771513
新竹,7354855,7358391
三姓橋,395146,354739
香山,194084,198698
崎頂,83639,98042
竹南,2906637,2911486
談文,16076,18094
大山,45370,47542
後龍,450530,436288
龍港,7884,8564
白沙屯,127609,132260
新埔,24074,24147
通霄,320652,335197
苑裡,551941,541580
日南,98273,97168
大甲,1001778,1004636
臺中港,32639,35620
清水,422219,430155
沙鹿,959543,932414
龍井,155699,150493
大肚,264444,256366
追分,228815,93006
彰化,5363031,5508667
花壇,419293,448983
大村,351583,356038
員林,3037001,3028169
永靖,179267,205059
社頭,409011,439755
田中,1048196,1039096
二水,424871,427283
林內,290092,289212
石榴,59451,72146
斗六,2370472,2375676
斗南,809162,805324
石龜,54894,64359
大林,682712,673224
民雄,777986,736289
嘉北,316141,332686
嘉義,3854485,3853077
水上,265724,267230
南靖,79577,84856
後壁,240400,222848
新營,1958097,1957494
柳營,345511,347088
林鳳營,220057,227249
隆田,573661,567137
拔林,57703,60033
善化,1302567,1303411
南科,484634,461881
新市,981578,967233
永康,1209747,1193318
大橋,1373344,1284196
臺南,9629053,9859096
保安,673127,685081
仁德,336342,334628
中洲,187754,180596
大湖,724189,680174
路竹,665287,683150
岡山,1076243,1087785
橋頭,531187,598555
楠梓,943546,915696
新左營,3664376,3645596
左營,394864,393839
內惟,40649,39802
美術館,61192,58357
鼓山,12649,13712
三塊厝,20909,22319
高雄,6708525,6705131
千甲,129274,127891
新莊,639613,653138
竹中,244115,254283
上員,22838,24056
榮華,54128,48233
竹東,199523,181207
橫山,38215,38661
九讚頭,19343,18321
合興,37251,43763
富貴,4028,6197
內灣,218995,216611
六家,1007244,925244
造橋,113630,129645
豐富,270634,269757
苗栗,2185315,2137046
南勢,42630,45470
銅鑼,313167,311161
三義,312582,314337
泰安,209991,225599
后里,1122320,1121582
豐原,3050809,3177934
栗林,26603,27976
潭子,1109679,1074873
頭家厝,28211,29854
松竹,51233,54356
太原,1360216,1343104
精武,52202,55547
臺中,9490995,9508821
大慶,1064027,1040400
五權,64438,68068
烏日,309434,327304
新烏日,2554822,2330934
成功,234429,371205
源泉,8556,9487
濁水,55938,51242
龍泉,5680,7032
集集,249050,127034
水里,69126,72218
車埕,154760,279761
長榮大學,336384,330204
沙崙,927571,826019
民族,34242,33396
科工館,54322,55600
正義,68868,63438
鳳山,1811655,1749069
後庄,253473,257226
九曲堂,418069,426245
六塊厝,42817,48610
屏東,3736004,3767943
歸來,59210,63046
麟洛,45339,50090
西勢,193081,183066
竹田,110946,112651
潮州,1309525,1313590
崁頂,43581,51962
南州,183625,166165
鎮安,4169,4418
林邊,152687,137080
佳冬,37131,34575
東海,18951,20139
枋寮,342314,341448
加祿,5458,297
內獅,94,189
枋山,301,605
大武,84095,83998
瀧溪,9557,13781
金崙,147117,143715
太麻里,67526,69532
知本,232492,233404
康樂,3535,5292
光復,167633,167678
大富,2512,2327
富源,16489,14261
瑞穗,232049,234228
三民,3502,3105
玉里,502589,501165
東里,6631,6450
東竹,5105,5541
富里,71105,73258
池上,190543,198803
海端,2508,3679
關山,228564,218817
瑞和,2990,2710
瑞源,14903,15103
鹿野,86210,78563
山里,1890,3183
臺東,1967906,1973592
永樂,5291,4116
東澳,84264,92615
南澳,346665,350291
武塔,10096,11491
漢本,6098,6572
和平,261159,266715
和仁,22819,28166
崇德,14813,15695
新城,827592,513973
景美,5386,7574
北埔,60606,59005
花蓮,5160812,4886418
暖暖,139790,143290
四腳亭,219030,212425
瑞芳,2191404,2418035
猴硐,290095,281119
三貂嶺,31520,44794
牡丹,44118,51277
雙溪,299946,300831
貢寮,68307,79900
福隆,377919,413801
石城,11015,11108
大里,92002,58891
大溪,77401,82068
龜山,36292,35599
外澳,38532,42330
頭城,485734,477829
頂埔,42666,49520
礁溪,618520,636121
四城,42049,48642
宜蘭,1774439,1743009
二結,52583,55050
中里,16054,19152
羅東,2128485,2122509
冬山,256033,264033
新馬,8331,11209
蘇澳新,370942,961304
蘇澳,219336,223703
大華,6468,3610
十分,527665,542381
望古,7100,9954
嶺腳,13695,11176
平溪,140091,149149
菁桐,329482,305890
海科館,234266,238973
八斗子,47653,65357
